"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","pickRandomReturnsElementFromTheList","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.RandomUtilsTest","Surefire test","com.mobileframework.tests.RandomUtilsTest","pickRandomReturnsElementFromTheList"
"","0","isEmailExistReturnsTrueForAddedUserAndFalseForUnknown","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","isEmailExistReturnsTrueForAddedUserAndFalseForUnknown"
"","1","driverLifecycleWorksWithConfigPlatform","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","driverLifecycleWorksWithConfigPlatform"
"","0","foundUserEqualsNewUserWithSameEmail","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","foundUserEqualsNewUserWithSameEmail"
"","0","pickRandomThrowsForEmptyList","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.RandomUtilsTest","Surefire test","com.mobileframework.tests.RandomUtilsTest","pickRandomThrowsForEmptyList"
"","398","loginWithValidCredentialsReturnsToken","Surefire suite","Sun Jul 26 12:40:42 UTC 2026","passed","Sun Jul 26 12:40:42 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","loginWithValidCredentialsReturnsToken"
"","357","loginWithoutPasswordReturnsBadRequest","Surefire suite","Sun Jul 26 12:40:42 UTC 2026","passed","Sun Jul 26 12:40:43 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","loginWithoutPasswordReturnsBadRequest"
"","1","findUsersOlderThanReturnsOnlyMatchingUsers","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","findUsersOlderThanReturnsOnlyMatchingUsers"
"","2238","createUserReturnsCreatedWithId","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:40 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","createUserReturnsCreatedWithId"
"","0","getInstanceReturnsSameInstance","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","getInstanceReturnsSameInstance"
"","368","getNonExistingUserReturnsNotFound","Surefire suite","Sun Jul 26 12:40:40 UTC 2026","passed","Sun Jul 26 12:40:41 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","getNonExistingUserReturnsNotFound"
"","0","getUserByEmailThrowsForUnknownEmail","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","getUserByEmailThrowsForUnknownEmail"
"","6","createDriverReturnsIOSDriverForIOSPlatform","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","createDriverReturnsIOSDriverForIOSPlatform"
"","1","findAllEmails","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","findAllEmails"
"","1","groupUsersByAgeGroupsCorrectly","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","groupUsersByAgeGroupsCorrectly"
"","0","pickRandomReturnsTheOnlyElementFromSingleElementList","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.RandomUtilsTest","Surefire test","com.mobileframework.tests.RandomUtilsTest","pickRandomReturnsTheOnlyElementFromSingleElementList"
"","0","findByEmailReturnsEmptyForUnknownEmail","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","findByEmailReturnsEmptyForUnknownEmail"
"","1","getUserByEmailReturnsAddedUser","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","getUserByEmailReturnsAddedUser"
"","10","testUser","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.UserTest","Surefire test","com.mobileframework.tests.UserTest","testUser"
"","971","getUserReturnsCorrectUserData","Surefire suite","Sun Jul 26 12:40:41 UTC 2026","passed","Sun Jul 26 12:40:42 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","getUserReturnsCorrectUserData"
"","34","createDriverReturnsAndroidDriverForAndroidPlatform","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","createDriverReturnsAndroidDriverForAndroidPlatform"
"","1","configLoaderReturnsPlatformFromFile","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.DriverTest","Surefire test","com.mobileframework.tests.DriverTest","configLoaderReturnsPlatformFromFile"
"","0","addedUserCanBeFoundByEmail","Surefire suite","Sun Jul 26 12:40:38 UTC 2026","passed","Sun Jul 26 12:40:38 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","addedUserCanBeFoundByEmail"
