"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","foundUserEqualsNewUserWithSameEmail","Surefire suite","Thu Aug 06 07:48:53 UTC 2026","passed","Thu Aug 06 07:48:53 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","foundUserEqualsNewUserWithSameEmail"
"","2","getUserByEmailThrowsForUnknownEmail","Surefire suite","Thu Aug 06 07:48:53 UTC 2026","passed","Thu Aug 06 07:48:53 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","getUserByEmailThrowsForUnknownEmail"
"","0","pickRandomReturnsTheOnlyElementFromSingleElementList","Surefire suite","Thu Aug 06 07:48:53 UTC 2026","passed","Thu Aug 06 07:48:53 UTC 2026","com.mobileframework.tests.RandomUtilsTest","Surefire test","com.mobileframework.tests.RandomUtilsTest","pickRandomReturnsTheOnlyElementFromSingleElementList"
"","1","addedUserCanBeFoundByEmail","Surefire suite","Thu Aug 06 07:48:53 UTC 2026","passed","Thu Aug 06 07:48:53 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","addedUserCanBeFoundByEmail"
"","165","loginWithValidCredentialsReturnsToken","Surefire suite","Thu Aug 06 07:48:56 UTC 2026","passed","Thu Aug 06 07:48:57 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","loginWithValidCredentialsReturnsToken"
"","924","getUserReturnsCorrectUserData","Surefire suite","Thu Aug 06 07:48:55 UTC 2026","passed","Thu Aug 06 07:48:56 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","getUserReturnsCorrectUserData"
"","1","getUserByEmailReturnsAddedUser","Surefire suite","Thu Aug 06 07:48:53 UTC 2026","passed","Thu Aug 06 07:48:53 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","getUserByEmailReturnsAddedUser"
"","19","testUser","Surefire suite","Thu Aug 06 07:48:53 UTC 2026","passed","Thu Aug 06 07:48:53 UTC 2026","com.mobileframework.tests.UserTest","Surefire test","com.mobileframework.tests.UserTest","testUser"
"","2472","createUserReturnsCreatedWithId","Surefire suite","Thu Aug 06 07:48:53 UTC 2026","passed","Thu Aug 06 07:48:55 UTC 2026","com.mobileframework.tests.api.UserApiTest","Surefire test","com.mobileframework.tests.api.UserApiTest","createUserReturnsCreatedWithId"
"","5","findAllEmails","Surefire suite","Thu Aug 06 07:48:53 UTC 2026","passed","Thu Aug 06 07:48:53 UTC 2026","com.mobileframework.tests.UserRepositoryTests","Surefire test","com.mobileframework.tests.UserRepositoryTests","findAllEmails"
